merchant_id,merchant_name,category,city,country
1,PVR #1,Entertainment,Delhi,India
2,Water Board #2,Utilities,Hyderabad,India
3,Swiggy #3,Food Delivery,Noida,India
4,Vijay Sales #4,Electronics,Mumbai,India
5,Pantaloons #5,Fashion,Delhi,India
6,DMart #6,Grocery,Hyderabad,India
7,Swiggy #7,Food Delivery,Kolkata,India
8,Zomato #8,Food Delivery,Hyderabad,India
9,Marriott #9,Hotel,Indore,India
10,Reliance Fresh #10,Grocery,Noida,India
11,Ola #11,Transport,Chennai,India
12,Pizza Hut #12,Restaurant,Indore,India
13,IRCTC #13,Travel,Mumbai,India
14,Uber #14,Transport,Pune,India
15,Goibibo #15,Travel,Indore,India
16,More #16,Grocery,Kolkata,India
17,Reliance Digital #17,Electronics,Mumbai,India
18,MedPlus #18,Pharmacy,Surat,India
19,BookMyShow #19,Entertainment,Nagpur,India
20,MakeMyTrip #20,Travel,Noida,India
21,Amazon #21,Electronics,Lucknow,India
22,Zomato #22,Food Delivery,Mumbai,India
23,Swiggy #23,Food Delivery,Ahmedabad,India
24,Shell #24,Fuel,Lucknow,India
25,MakeMyTrip #25,Travel,Pune,India
26,MakeMyTrip #26,Travel,Lucknow,India
27,Indian Oil #27,Fuel,Chandigarh,India
28,PVR #28,Entertainment,Kolkata,India
29,Electricity Board #29,Utilities,Bengaluru,India
30,Radisson #30,Hotel,Chennai,India
31,BookMyShow #31,Entertainment,Kolkata,India
32,Zomato #32,Food Delivery,Surat,India
33,Reliance Fresh #33,Grocery,Surat,India
34,Big Bazaar #34,Grocery,Ahmedabad,India
35,Indian Oil #35,Fuel,Hyderabad,India
36,Lifestyle #36,Fashion,Hyderabad,India
37,INOX #37,Entertainment,Ahmedabad,India
38,INOX #38,Entertainment,Bengaluru,India
39,HP #39,Fuel,Hyderabad,India
40,Gas Agency #40,Utilities,Kolkata,India
41,Shell #41,Fuel,Nagpur,India
42,Pantaloons #42,Fashion,Pune,India
43,Swiggy #43,Food Delivery,Kolkata,India
44,Taj Hotels #44,Hotel,Indore,India
45,DMart #45,Grocery,Bengaluru,India
46,PVR #46,Entertainment,Indore,India
47,INOX #47,Entertainment,Chandigarh,India
48,Reliance Digital #48,Electronics,Ahmedabad,India
49,Pantaloons #49,Fashion,Kolkata,India
50,Indian Oil #50,Fuel,Lucknow,India
51,Electricity Board #51,Utilities,Lucknow,India
52,MedPlus #52,Pharmacy,Indore,India
53,INOX #53,Entertainment,Mumbai,India
54,Shell #54,Fuel,Bengaluru,India
55,Taj Hotels #55,Hotel,Noida,India
56,Water Board #56,Utilities,Kolkata,India
57,KFC #57,Restaurant,Nagpur,India
58,Croma #58,Electronics,Surat,India
59,BookMyShow #59,Entertainment,Chandigarh,India
60,Swiggy #60,Food Delivery,Pune,India
61,KFC #61,Restaurant,Indore,India
62,Apollo Pharmacy #62,Pharmacy,Chandigarh,India
63,Yatra #63,Travel,Delhi,India
64,Croma #64,Electronics,Nagpur,India
65,HP #65,Fuel,Delhi,India
66,Swiggy #66,Food Delivery,Mumbai,India
67,Water Board #67,Utilities,Surat,India
68,Vijay Sales #68,Electronics,Indore,India
69,Pizza Hut #69,Restaurant,Lucknow,India
70,OYO #70,Hotel,Chennai,India
71,1mg #71,Pharmacy,Ahmedabad,India
72,Swiggy #72,Food Delivery,Noida,India
73,Shell #73,Fuel,Lucknow,India
74,INOX #74,Entertainment,Jaipur,India
75,MedPlus #75,Pharmacy,Mumbai,India
76,Swiggy #76,Food Delivery,Mumbai,India
77,IRCTC #77,Travel,Chandigarh,India
78,Apollo Pharmacy #78,Pharmacy,Chandigarh,India
79,Swiggy #79,Food Delivery,Mumbai,India
80,Gas Agency #80,Utilities,Delhi,India
81,Swiggy #81,Food Delivery,Nagpur,India
82,Big Bazaar #82,Grocery,Mumbai,India
83,Apollo Pharmacy #83,Pharmacy,Chennai,India
84,INOX #84,Entertainment,Hyderabad,India
85,Apollo Pharmacy #85,Pharmacy,Noida,India
86,Pantaloons #86,Fashion,Hyderabad,India
87,Radisson #87,Hotel,Hyderabad,India
88,Amazon #88,Electronics,Lucknow,India
89,Ola #89,Transport,Ahmedabad,India
90,Ola #90,Transport,Surat,India
91,Electricity Board #91,Utilities,Lucknow,India
92,BookMyShow #92,Entertainment,Mumbai,India
93,More #93,Grocery,Noida,India
94,IRCTC #94,Travel,Hyderabad,India
95,Swiggy #95,Food Delivery,Kolkata,India
96,OYO #96,Hotel,Ahmedabad,India
97,McDonald's #97,Restaurant,Jaipur,India
98,Swiggy #98,Food Delivery,Jaipur,India
99,Apollo Pharmacy #99,Pharmacy,Delhi,India
100,BookMyShow #100,Entertainment,Surat,India
101,DMart #101,Grocery,Nagpur,India
102,Swiggy #102,Food Delivery,Ahmedabad,India
103,Radisson #103,Hotel,Hyderabad,India
104,Uber #104,Transport,Bengaluru,India
105,Uber #105,Transport,Ahmedabad,India
106,Shell #106,Fuel,Chennai,India
107,Ola #107,Transport,Bengaluru,India
108,Zomato #108,Food Delivery,Hyderabad,India
109,Spencer's #109,Grocery,Noida,India
110,Apollo Pharmacy #110,Pharmacy,Noida,India
111,IRCTC #111,Travel,Delhi,India
112,Pantaloons #112,Fashion,Kolkata,India
113,Apollo Pharmacy #113,Pharmacy,Delhi,India
114,Apollo Pharmacy #114,Pharmacy,Surat,India
115,Domino's #115,Restaurant,Chandigarh,India
116,Flipkart #116,Electronics,Ahmedabad,India
117,Vijay Sales #117,Electronics,Hyderabad,India
118,Myntra #118,Fashion,Chandigarh,India
119,Reliance Digital #119,Electronics,Lucknow,India
120,Lifestyle #120,Fashion,Nagpur,India
121,HP #121,Fuel,Lucknow,India
122,Water Board #122,Utilities,Hyderabad,India
123,Shell #123,Fuel,Bengaluru,India
124,BookMyShow #124,Entertainment,Chennai,India
125,Marriott #125,Hotel,Nagpur,India
126,Amazon #126,Electronics,Jaipur,India
127,Myntra #127,Fashion,Mumbai,India
128,Apollo Pharmacy #128,Pharmacy,Kolkata,India
129,HP #129,Fuel,Nagpur,India
130,IRCTC #130,Travel,Nagpur,India
131,Zomato #131,Food Delivery,Chennai,India
132,Burger King #132,Restaurant,Surat,India
133,1mg #133,Pharmacy,Chennai,India
134,Myntra #134,Fashion,Lucknow,India
135,MedPlus #135,Pharmacy,Nagpur,India
136,PVR #136,Entertainment,Nagpur,India
137,McDonald's #137,Restaurant,Mumbai,India
138,Vijay Sales #138,Electronics,Bengaluru,India
139,BPCL #139,Fuel,Chandigarh,India
140,Zomato #140,Food Delivery,Hyderabad,India
141,BookMyShow #141,Entertainment,Surat,India
142,Shell #142,Fuel,Chennai,India
143,DMart #143,Grocery,Lucknow,India
144,Ola #144,Transport,Delhi,India
145,Big Bazaar #145,Grocery,Indore,India
146,McDonald's #146,Restaurant,Bengaluru,India
